sentimen	Tweet
-1	lagu bosan apa yang aku save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu
-1	kita lanjutkan saja diam ini hingga kau dan aku mengerti tidak semua kebersamaan harus melibatkan hati 
1	doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p 
1	makasih loh ntar kita bagi hasil aku 99 9 sisanya buat kamu
-1	aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang 
0	barusan liat tulisan di belakang truk rela injek kopling demi kamu bisa shopping 
-1	cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p 
1	ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya
-1	aku aja capek sama diriku sendiri apalagi kamu maaf ya ' 
-1	aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan 
0	her itu lho miss kevin sama keven rebutan gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin 
0	iya rep gatau aku masih kelas 4 sd ehh di block 
0	aku mohon tepatilah janjimu penantiancintaeps19
0	bukan beria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser 
0	aku ingatkan habanero paling pedas rupanya ada 10 kali ganda yg lagi pedas gila 
0	aku tengok drama cinta bukan kristalatu conversation anak dengan bapak bapak iyeee sekarang semua perempuan n 
1	i dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla 
-1	commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa 
1	aah kamu aja mas aku lebih suka diayomi 
0	yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja 
0	kau dah tak streak dengan aku pun 
0	yg selama ini nunggun video dari aku nih retweet yg mau full 
1	mau bantu aku nabung 
-1	kamu jahat dubu lt 
0	tak kisah pun bf ade kawan perempuan sebab aku pun ade kawan laki tapi kalau over nak ngadu nak cite itu ini send ga 
0	high 
0	nanti malam ada undangan opening di hungerbelt spazio temani aku laaaahhh siiisssss 
-1	aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu 
1	tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya 
1	aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha 
0	aku tambah lagi ia
1	cara nak mintak maaf ada 3 1 aku minta maaf 2 aku mengaku salah aku 3 apa yang boleh aku buat untuk betulkan ba 
0	sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan 
-1	kalo gebetan kamu ngga pernah buang ludah di jalan pacarin 
-1	jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil 
1	yuk netweetjen dibantu
1	ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
0	lecturer aku suruh tampal note kat tempat yang aku selalu tengok takkan aku nak tampal kat muka crush pulak
0	20thn aku pengen nikah umur 23 sm orang yang gini gini gini 23thn blm ada yg nglamar 24thn si 
0	terdengar perbualan budak sekolah aku nk amik a level aku nk amik asasi asasi lagi ok dari matrik kan aa 
0	cara outin diri sendiri gimana sih yang bisa outin aku aku bayar deh g 
1	giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo 
1	ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
1	selamat hari jumat buat kamu yg selalu bikin rindu ini kumat 
-1	kesian belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t 
1	diremes di enyot ngedusel dusel di nenen kamu wah mantap
0	mana gampaang aku nanya dulu tauu 
-1	idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe 
-1	takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian
1	hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e 
0	makan tido makan tido hari ni aku mereput je la kat rumah hadap diorang ni haih 
-1	10 tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pastu post gambar dia tetib 
0	threado as promised aku nk citer pengalaman aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s 
0	makanya tadi aku kaget lihat teman kabar nya udah menikah dalam hati kamu kapan taarufnya kok sampai ga tercium kabarnya 
-1	pacar kamu sibuk ya kok tumben komen wassap story aku 
-1	kucin datang bawah meja mintak makanan kau bagi lah apa yang ada jangan sepak2 pulak dia tak datang seekor dia datang ber 
-1	lepaskanlah dia tidak mau kamuadarlah jangan membatu 
-1	aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu 
-1	tolong sebelum kau nak kacau orang yg aku sayang kau fikir dulu mcm mana perasaan kau bila ada orang kacau buah hati kau
-1	biasalah tu perempuan kena berjaga jaga muka malaikat pun kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk 
1	pilih salah satu yang paling kamu nyaman
1	aku sendiri jugaaa yuk barengan
-1	aku benci soalan bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kire
0	aku juga dong mbaknya link kalo jepang main 
-1	24 8 18 birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot 26 8 18 dia ajak per 
1	mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa diundi j 
1	mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego 
